name,lat,lon
函館,41.773709,140.726413
五稜郭,41.803557,140.733539
桔梗,41.846457,140.722952
大中山,41.864641,140.71358
七飯,41.886971,140.688556
新函館北斗,41.9054,140.646525
仁山,41.930011,140.635183
大沼,41.971954,140.669347
大沼公園,41.980958,140.669758
赤井川,42.003267,140.642678
駒ケ岳,42.038809,140.610476
東山,42.06172,140.605222
姫川,42.081312,140.591632
池田園,41.990692,140.700333
流山温泉,42.003483,140.716358
銚子口,42.015471,140.720656
鹿部,42.06439,140.771393
渡島沼尻,42.10706,140.747596
渡島砂原,42.12164,140.689451
掛澗,42.119205,140.64598
尾白内,42.111232,140.613449
東森,42.106823,140.59353
森,42.108917,140.573846
桂川,42.1156004,140.5427876
石谷,42.135519,140.506525
本石倉,42.159668,140.471957
石倉,42.17285,140.458436
落部,42.187617,140.420755
野田生,42.217104,140.37586
山越,42.231172,140.326593
八雲,42.253391,140.273342
鷲ノ巣,42.278389,140.269919
山崎,42.314635,140.2746
黒岩,42.368296,140.288173
北豊津,42.400969,140.297868
国縫,42.439319,140.320885
中ノ沢,42.477928,140.346077
長万部,42.512477,140.37507
長万部,42.512477,140.37507
二股,42.575869,140.320821
蕨岱,42.626353,140.313353
黒松内,42.669608,140.305704
熱郛,42.675653,140.375084
目名,42.761432,140.465742
蘭越,42.804542,140.52894
昆布,42.797984,140.596107
ニセコ,42.808746,140.684588
比羅夫,42.84856,140.722615
倶知安,42.90164,140.745471
小沢,42.97185,140.677657
銀山,43.040888,140.715321
然別,43.12551,140.737211
仁木,43.154091,140.770546
余市,43.186558,140.794686
蘭島,43.19651,140.854643
塩谷,43.202406,140.924546
小樽,43.197172,140.993653
小樽,43.197172,140.993653
南小樽,43.186529,141.007883
小樽築港,43.180752,141.029051
朝里,43.176868,141.063923
銭函,43.143403,141.159868
ほしみ,43.13373,141.191402
星置,43.132375,141.210856
稲穂,43.128115,141.222919
手稲,43.120238,141.243785
稲積公園,43.112023,141.257113
発寒,43.099819,141.277273
発寒中央,43.089271,141.294497
琴似,43.081599,141.307418
桑園,43.070744,141.332036
札幌,43.068612,141.350768
苗穂,43.068574,141.377522
白石,43.054715,141.413612
厚別,43.045154,141.46369
森林公園,43.056456,141.481332
大麻,43.072382,141.496925
野幌,43.092559,141.52984
高砂,43.100084,141.540752
江別,43.110189,141.55679
豊幌,43.136446,141.62466
幌向,43.151348,141.655839
上幌向,43.18183,141.715391
岩見沢,43.204201,141.759359
峰延,43.264694,141.814673
光珠内,43.292658,141.844655
美唄,43.330751,141.862157
茶志内,43.369842,141.87336
奈井江,43.423718,141.889115
豊沼,43.464224,141.901032
砂川,43.493468,141.909642
滝川,43.555278,141.900807
江部乙,43.627564,141.935937
妹背牛,43.690841,141.966591
深川,43.721021,142.041642
納内,43.732509,142.130072
伊納,43.763305,142.27167
近文,43.789193,142.325327
旭川,43.763492,142.357803
長万部,42.512477,140.37507
静狩,42.584065,140.460025
小幌,42.589731,140.537361
礼文,42.580422,140.595013
大岸,42.585969,140.639036
豊浦,42.580323,140.71536
洞爺,42.55055,140.763959
有珠,42.513267,140.793969
長和,42.488262,140.833783
